"ASV","Reads","Kingdom","Phylum","Class","Order","Family","Genus","Relative_abundance"
"ASV_1",1960,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",6.18960399166298
"ASV_2",1614,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",5.09694940946125
"ASV_3",1431,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",4.51904250615802
"ASV_4",1372,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",4.33272279416409
"ASV_5",1310,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",4.13692919850944
"ASV_6",1247,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",3.93797764163456
"ASV_7",1165,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",3.67902482157519
"ASV_8",1157,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",3.6537611318133
"ASV_9",1113,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",3.51481083812291
"ASV_10",1105,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",3.48954714836102
"ASV_11",1092,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",3.44849365249795
"ASV_12",1082,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",3.41691404029559
"ASV_13",1044,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",3.29691151392661
"ASV_14",1036,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",3.27164782416472
"ASV_15",930,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",2.93690393481968
"ASV_16",883,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",2.78847975746858
"ASV_17",831,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",2.62426577401629
"ASV_18",809,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",2.5547906271711
"ASV_19",762,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",2.40636644982
"ASV_20",745,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",2.35268110907598
