"Family","Reads","Relative_abundance"
"Lactobacillaceae",27180,86.1517005293353
"Moraxellaceae",1217,3.85749152112587
"Corynebacteriaceae",689,2.1839044026752
"Planococcaceae",377,1.19496655995436
"Prevotellaceae",342,1.08402801990554
"Family XI",283,0.897017338108973
"Bifidobacteriaceae",132,0.418396779612666
"Micrococcaceae",116,0.367682018447494
"Dermabacteraceae",100,0.316967257282323
"Flavobacteriaceae",96,0.30428856699103
"Sphingobacteriaceae",87,0.275761513835621
"Bacteroidaceae",64,0.202859044660687
"Staphylococcaceae",56,0.177501664078101
"[Eubacterium] coprostanoligenes group",47,0.148974610922692
"Microbacteriaceae",43,0.136295920631399
"Erwiniaceae",41,0.129956575485752
"Weeksellaceae",40,0.126786902912929
"Pseudomonadaceae",36,0.114108212621636
"Veillonellaceae",36,0.114108212621636
"Aerococcaceae",32,0.101429522330343
"Streptococcaceae",31,0.09825984975752
"UCG-010",28,0.0887508320390504
"Rikenellaceae",27,0.0855811594662271
"Tannerellaceae",27,0.0855811594662271
"Ruminococcaceae",25,0.0792418143205807
"Rhizobiaceae",23,0.0729024691749342
"Nocardiaceae",22,0.069732796602111
"Barnesiellaceae",21,0.0665631240292878
"Lysobacteraceae",21,0.0665631240292878
"Mitochondria",20,0.0633934514564646
"Lachnospiraceae",19,0.0602237788836413
"Oscillospiraceae",19,0.0602237788836413
"Caulobacteraceae",17,0.0538844337379949
"Erysipelatoclostridiaceae",16,0.0507147611651716
"Marinifilaceae",16,0.0507147611651716
"Paracoccaceae",16,0.0507147611651716
"Porphyromonadaceae",16,0.0507147611651716
"Xanthobacteraceae",15,0.0475450885923484
"Butyricicoccaceae",14,0.0443754160195252
"Bacillaceae",13,0.041205743446702
"Brevibacteriaceae",12,0.0380360708738787
"Neisseriaceae",11,0.0348663983010555
"Sphingomonadaceae",11,0.0348663983010555
"Anaerovoracaceae",10,0.0316967257282323
"Peptococcaceae",9,0.028527053155409
"Erysipelotrichaceae",8,0.0253573805825858
"Peptostreptococcaceae",8,0.0253573805825858
"Caldisalinibacteraceae",6,0.0190180354369394
"Nostocaceae",6,0.0190180354369394
"Sulfurimonadaceae",6,0.0190180354369394
"Actinomycetaceae",5,0.0158483628641161
"Beijerinckiaceae",5,0.0158483628641161
"Leptotrichiaceae",5,0.0158483628641161
"Prolixibacteraceae",5,0.0158483628641161
"Campylobacteraceae",4,0.0126786902912929
"Obscuribacteraceae",4,0.0126786902912929
"Exiguobacteraceae",3,0.00950901771846968
"Schlesneriaceae",3,0.00950901771846968
"Sutterellaceae",3,0.00950901771846968
"WD2101 soil group",3,0.00950901771846968
"P5D1-392",2,0.00633934514564645
